text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…,FALSE,0,NA,2021-12-06 3:33:36,FALSE,NA,1467698715104354306,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",IchCrypto,649,TRUE,FALSE,NA,NA
RT @Capo4Daniel: @cwjroberts Cameroun dictatorship benefits from protection from France.I doubt if human right is as important to @POTUS as…,FALSE,0,NA,2021-12-06 3:33:31,FALSE,NA,1467698691825876992,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Freshfrank8,1,TRUE,FALSE,NA,NA
"Wed Jun 03 2020 New York City, New York - Police officer punches detained protester repeatedly WATCH:… https://t.co/3YtOxGusyO",FALSE,1,NA,2021-12-06 3:32:11,TRUE,NA,1467698357640613892,NA,"<a href=""https://marcushaddon.github.io/trumpbutaboutsharks"" rel=""nofollow"">trumpbutaboutsharks</a>",tbasharks,0,FALSE,FALSE,NA,NA
"@AnnamiePaul @CanadianGreens @younggreenscan #AnnamiePaul, being liberal, gay, transgender, an environmentalist or… https://t.co/7QvXUXvNHA",FALSE,0,AnnamiePaul,2021-12-06 3:29:02,TRUE,1301317895302111233,1467697563239272449,1156560530594832390,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",strenuous_bobby,0,FALSE,FALSE,NA,NA
RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…,FALSE,0,NA,2021-12-06 3:28:06,FALSE,NA,1467697329805406209,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JohnSchreiber8,649,TRUE,FALSE,NA,NA
RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…,FALSE,0,NA,2021-12-06 3:26:35,FALSE,NA,1467696949478445059,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",knolanpj,649,TRUE,FALSE,NA,NA
RT @_webshareztv: @Diane1Queen @luisalarosa @HARRYS1DEMPIRE @IreneVarMex @ME_1b @Mechis_M @Governor8358621 @Aluddin19 @GRAHAM15583070 @ital…,FALSE,0,NA,2021-12-06 3:26:31,FALSE,NA,1467696931233218565,NA,"<a href=""https://missionimproxyble.com"" rel=""nofollow"">My1stNewApp</a>",JFSebastian146,4,TRUE,FALSE,NA,NA
"Hands up, don't shoot! #BlackLivesMatter",FALSE,0,NA,2021-12-06 3:25:42,FALSE,NA,1467696725699833858,NA,"<a href=""https://twitter.com/BLMProtestBot"" rel=""nofollow"">BLMProtestBot</a>",BLMProtestBot,0,FALSE,FALSE,NA,NA
RT @LOB014: More Blue in Washington means more #MMT to #SaveDemocracy.  Register to vote NOW. #BLUEWAVE2022 #VoteBlue2022 #VOTEBLUEIN22 #bl…,FALSE,0,NA,2021-12-06 3:24:56,FALSE,NA,1467696534603145216,NA,"<a href=""https://missionimproxyble.com"" rel=""nofollow"">My1stNewApp</a>",JFSebastian146,2,TRUE,FALSE,NA,NA
"RT @mommamia1217: If you find it necessary to conceal your identity when defending your beliefs 

Take it has a warning that it’s time to r…",FALSE,0,NA,2021-12-06 3:24:41,FALSE,NA,1467696471403335680,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nieceofToni,163,TRUE,FALSE,NA,NA
RT @rauhling_bizzle: Y’all were just talking about #BlackLivesMatter during the situation at the capital so let’s continue that conversatio…,FALSE,0,NA,2021-12-06 3:24:06,FALSE,NA,1467696322648190981,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",96Hssr,45,TRUE,FALSE,NA,NA
RT @say_the_names: Kendrec McDade #BlackLivesMatter,FALSE,0,NA,2021-12-06 3:23:22,FALSE,NA,1467696138480459787,NA,"<a href=""https://missionimproxyble.com"" rel=""nofollow"">My1stNewApp</a>",JFSebastian146,2,TRUE,FALSE,NA,NA
"RT @sugarmommazx: Drop your PayPal, Cashapp or whatever you use, I'll be blessing a few who like &amp; retweet &amp; Follow💗
#cahapp #art #COVID #M…",FALSE,0,NA,2021-12-06 3:23:08,FALSE,NA,1467696079634378756,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FrankSuly2010,9,TRUE,FALSE,NA,NA
RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…,FALSE,0,NA,2021-12-06 3:23:05,FALSE,NA,1467696067248627715,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reese51428446,649,TRUE,FALSE,NA,NA
"RT @torrossian1171: #Russia #russiagate #RussiaInvadedUkraine #Ukraine #Taiwan #China #BlackLivesMatter
#QueerChurchSA
If you are a slim yo…",FALSE,0,NA,2021-12-06 3:22:39,FALSE,NA,1467695957097828360,NA,"<a href=""https://missionimproxyble.com"" rel=""nofollow"">My1stNewApp</a>",JFSebastian146,2,TRUE,FALSE,NA,NA
#BlackLivesMatter #NickiMinaj #MAGA #Alberta #covid19 #corruption Wake #science #Australia #India #Ghana #Arizona… https://t.co/Y2LQVtQ2Nx,FALSE,0,NA,2021-12-06 3:22:28,TRUE,NA,1467695912717746178,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ClareKuehn,2,FALSE,FALSE,NA,NA
