created,text
2021-12-06 7:00:18,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:00:01,DING DING. #PennState #BlackLivesMatter #JusticeForAll
2021-12-06 6:58:55,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
2021-12-06 6:58:12,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…
2021-12-06 6:57:21,We witnessed countless #murder over the course of 30 years.    Music 🎶 to be murdered by. #inciting… https://t.co/GlMfKdit9j
2021-12-06 6:56:24,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/x8cR2iV5AX"
2021-12-06 6:55:19,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/Jf7ftCKRWn"
2021-12-06 6:55:03,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/QtmoH2PT1i"
2021-12-06 6:54:04,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/pFqgqQS89b"
2021-12-06 6:54:01,"@nypost Racist, anti black and misogynoir hit peace. Kamala is doing fine, y’all just hate her for being a strong b… https://t.co/rHDPiM62Z9"
2021-12-06 6:53:58,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…
2021-12-06 6:53:43,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/wkhKmbRkPl"
2021-12-06 6:53:14,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/0Bfk04TFkz"
2021-12-06 6:52:59,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/WeQyEkyDTg"
2021-12-06 6:52:44,RT @Xena007911: @AttorneyCrump This was posted on my LinkedIn thread this morning…. And I felt like this basically sums everything up prett…
2021-12-06 6:52:38,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/NRJSh3KoWr"
2021-12-06 6:51:32,"RT @TheLeoTerrell: Attention #BlackLivesMatter .  I will not boycott “white companies.”  Moreover, you do not represent me nor 99.999 of Bl…"
2021-12-06 6:51:13,Kshama Sawant - Council | https://t.co/X2LQxtWHkX 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama… https://t.co/K4dxbZHofj
2021-12-06 6:50:43,"RT @doris__steven: Wonderful Counsellor 

📌 #TruthReads #Truth #Gospel #GoodNews #God #Jesus #Advent #AloneTogether #StaySafe #BlackLivesMa…"
2021-12-06 6:50:39,"God, Father Of Jesus. Lord Of Our Sky. See what happened on the news in the past, Than help us put a stop to it. He… https://t.co/ER5Qih6Wc7"
2021-12-06 6:50:15,"@GovInslee 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/LmadHKgGoB"
2021-12-06 6:50:08,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/3hOLA4dfyL"
